gene	biotype	chr	start	end	strand
RN7SL253P	misc_RNA	4	173141643	173141938	+
RPL19P18	processed_pseudogene	17	9589902	9590482	-
UBA52P7	processed_pseudogene	12	115592604	115592983	-
TRBV11-2	lincRNA	7	142433895	142434394	+
PPP1R2P6	processed_pseudogene	7	140292752	140293339	+
RN7SL418P	misc_RNA	3	69769487	69769773	-
AL031733.2	antisense	1	167627385	167630674	-
AC104445.1	lincRNA	3	69591341	69593121	+
RPL19P11	processed_pseudogene	5	31053565	31054153	+
LINC01327	lincRNA	3	167392796	167408519	+
AC117394.1	processed_pseudogene	3	153129074	153129640	-
RPS27P12	processed_pseudogene	3	129218093	129218350	-
AC091564.1	processed_pseudogene	11	6685891	6686369	-
AC018450.1	processed_transcript	3	143123362	143131893	+
RPL31P49	processed_pseudogene	12	110460988	110461362	+
ADAMTS9-AS2	antisense	3	64684909	65011468	+
ARPC1A	protein_coding	7	99325910	99366262	+
AL035460.1	protein_coding	20	2814968	2818066	+
RN7SL704P	misc_RNA	22	38231720	38231993	+
GM2AP1	processed_pseudogene	3	145684572	145685092	+
LINC02053	lincRNA	3	180414174	180422506	+
TMEFF1	protein_coding	9	100473113	100577636	+
RN7SL265P	misc_RNA	7	73732569	73732868	-
VWFP1	transcribed_unprocessed_pseudogene	22	16690103	16704477	-
AL158847.1	antisense	1	109725820	109775252	+
SUMO1P1	processed_pseudogene	20	53875252	53875557	-
AC083795.1	processed_pseudogene	4	111551854	111552173	+
AC074276.1	processed_pseudogene	3	158275809	158276421	-
AP001062.3	sense_overlapping	21	44328944	44330221	-
FABP5P3	transcribed_processed_pseudogene	7	152436895	152443187	+
FAM90A23P	unprocessed_pseudogene	8	7579644	7582653	-
ZNF90P1	processed_pseudogene	3	101357292	101359242	+
AC010469.2	processed_pseudogene	5	31840492	31840971	-
RPL7AP30	processed_pseudogene	4	112788083	112788878	-
XACT	lincRNA	X	113616300	113938218	-
AC079953.1	processed_pseudogene	12	101228141	101228876	-
RN7SL788P	misc_RNA	1	52150104	52150419	+
AC104212.2	processed_pseudogene	8	80265528	80266155	-
RPSAP52	transcribed_processed_pseudogene	12	65758020	65826997	-
AC108748.1	lincRNA	3	102663163	102673913	-
IGKV1-9	IG_V_gene	2	89009982	89010515	-
RN7SL83P	misc_RNA	7	38531042	38531338	-
RN7SL714P	misc_RNA	14	98351367	98351664	-
AC002467.1	antisense	7	107742817	107744581	-
RPS26P45	processed_pseudogene	12	69422656	69422995	+
LINC01324	lincRNA	3	164714095	164831480	-
LINC00893	antisense	X	149527591	149540959	-
AC104411.1	antisense	3	157163452	157169133	+
AC092620.2	3prime_overlapping_ncRNA	2	138569090	138574458	+
AC117482.1	processed_pseudogene	3	84691681	84692591	-
AC092185.1	unprocessed_pseudogene	3	108725440	108725536	-
AP002812.1	processed_pseudogene	11	77868722	77869195	-
RN7SL390P	misc_RNA	12	54255627	54255910	-
MTND4P16	unprocessed_pseudogene	3	106894352	106895718	-
COX6B1P2	processed_pseudogene	17	48713730	48713959	+
RN7SL504P	misc_RNA	3	51872178	51872464	+
ENO1P4	processed_pseudogene	2	201621646	201623430	-
RN7SL817P	misc_RNA	2	46448224	46448511	-
AC092958.2	lincRNA	3	148093175	148127233	+
SPRR2A	protein_coding	1	153056113	153057537	-
AC126121.1	processed_pseudogene	3	59535863	59536415	+
RN7SL319P	misc_RNA	15	75785134	75785354	+
RPS15AP34	processed_pseudogene	16	63350763	63351149	-
AC022133.1	processed_pseudogene	5	52903908	52904478	+
HMGN2P13	processed_pseudogene	3	153067278	153067551	+
AC107015.1	processed_pseudogene	3	96566357	96567103	+
AC123768.1	antisense	15	32656084	32673065	-
RN7SL170P	misc_RNA	20	56688401	56688695	+
RPL7P42	processed_pseudogene	12	68684595	68686308	+
AC006517.1	processed_pseudogene	12	7860437	7860764	+
RPL21P54	processed_pseudogene	5	34883057	34883520	+
CECR3	lincRNA	22	17256859	17266733	-
RN7SL149P	misc_RNA	8	41840059	41840339	-
ATP5PO	protein_coding	21	33903453	33915980	-
AP000529.1	processed_pseudogene	22	15721486	15722608	+
PLEKHO2	protein_coding	15	64841883	64868007	+
AC092451.1	processed_pseudogene	12	25409293	25409445	-
C8orf58	protein_coding	8	22599601	22604150	+
AC097484.1	processed_pseudogene	4	88163579	88163967	+
ANOS2P	transcribed_unprocessed_pseudogene	Y	13751656	13915824	+
AL627309.5	processed_transcript	1	141474	173862	-
GAPDHP50	processed_pseudogene	3	89047442	89048434	-
RN7SL401P	misc_RNA	18	73744935	73745232	+
RN7SL434P	misc_RNA	3	196397508	196397778	-
RN7SL363P	misc_RNA	15	90855935	90856207	-
AC008620.1	processed_pseudogene	5	181065086	181065677	+
TOMM22P6	processed_pseudogene	3	162486541	162486949	-
AC095041.1	processed_pseudogene	4	178286695	178287285	+
PISD	protein_coding	22	31618491	31662432	-
KLF3P2	processed_pseudogene	3	156977558	156977825	+
AC245088.2	lincRNA	7	142285750	142288869	+
AC124893.1	lincRNA	3	168288553	168291228	+
AC114401.1	lincRNA	3	67296300	67306359	+
AC112496.1	sense_intronic	X	30698207	30721932	+
RPSAP37	processed_pseudogene	5	125966777	125968085	-
AC079944.2	processed_pseudogene	3	113885298	113886031	+
RPL13P4	processed_pseudogene	15	75388267	75388828	+
RPL9P6	processed_pseudogene	14	81777016	81777613	-
TPT1P3	processed_pseudogene	3	141709016	141709832	-
NDUFS6P1	processed_pseudogene	3	135959275	135959590	-
RPS20P4	processed_pseudogene	5	150021567	150021921	-
TRBVB	TR_V_pseudogene	7	142711384	142711924	+
AC078788.2	lincRNA	3	153376831	153377562	+
RPS29P21	processed_pseudogene	17	59912197	59912366	+
AC084398.1	processed_pseudogene	12	101936216	101936674	+
AC000372.1	antisense	7	126378970	126424185	+
RPL14P3	processed_pseudogene	4	140366240	140366861	-
MTCO1P55	processed_pseudogene	7	141801315	141802059	-
AC108751.3	processed_pseudogene	3	149462182	149464830	-
AC092324.1	processed_pseudogene	16	12881170	12881493	+
DENND6A-DT	lincRNA	3	57693205	57696596	+
HOGA1	protein_coding	10	97584323	97612802	+
RN7SL517P	misc_RNA	3	43314951	43315255	+
RPL32P26	processed_pseudogene	12	62658823	62659225	+
RPS20P20	processed_pseudogene	8	71895991	71896330	+
RN7SL188P	misc_RNA	11	16576851	16577135	+
PWP2	protein_coding	21	44107290	44131181	+
AC068298.1	processed_pseudogene	3	180589887	180590047	-
HNRNPA1P24	processed_pseudogene	3	149999645	150000690	+
RPL29P23	processed_pseudogene	11	33190062	33190503	-
AL021937.4	lincRNA	22	32383786	32385631	+
AC109466.1	antisense	5	164296696	165171643	+
RN7SL76P	misc_RNA	7	151464650	151464938	-
AC011037.1	processed_pseudogene	8	67406515	67407072	+
AC079447.1	protein_coding	2	99141485	99322741	+
RN7SL655P	misc_RNA	5	154349428	154349725	+
RN7SL135P	misc_RNA	8	63234634	63234911	-
RPS2P25	processed_pseudogene	5	85762559	85763138	+
PI4KA	protein_coding	22	20707691	20859417	-
ELOCP19	processed_pseudogene	1	88829102	88829419	+
AKAP2	protein_coding	9	110048598	110172512	+
AF213884.1	processed_pseudogene	4	102662611	102663073	+
RN7SL566P	misc_RNA	19	39369153	39369448	+
RPL7AP2	processed_pseudogene	14	39156742	39157852	+
WWTR1-IT1	sense_intronic	3	149648997	149650184	-
PRR34-AS1	antisense	22	46053705	46057210	+
AC114982.2	processed_pseudogene	5	62561859	62562216	-
RN7SL831P	misc_RNA	1	96583209	96583527	+
RPL38P1	processed_pseudogene	3	148695994	148696204	-
RN7SL323P	misc_RNA	8	56022019	56022313	-
AF186996.2	processed_pseudogene	3	125681305	125681453	+
AC129807.1	lincRNA	3	81840547	81922861	+
AC084211.1	lincRNA	3	182365147	182368256	+
RN7SL26P	misc_RNA	6	33540694	33541000	+
ALG1L15P	processed_pseudogene	3	156044155	156044948	-
KIR3DL3	protein_coding	19	54724479	54736536	+
RN7SL68P	misc_RNA	5	141479316	141479625	+
AC112493.1	lincRNA	X	27042907	27176298	-
HYPK	protein_coding	15	43796142	43803043	+
AC078980.1	lincRNA	3	109648107	109810861	+
AC097493.1	processed_pseudogene	4	9553614	9553985	-
AC128713.1	processed_pseudogene	3	167956311	167956616	-
RPL35AP28	processed_pseudogene	12	49863173	49863503	+
LINC01743	lincRNA	1	246516039	246524287	-
AC093583.1	processed_transcript	7	151806490	151810820	+
DNAJB8-AS1	antisense	3	128463594	128472317	+
RPL10P7	processed_pseudogene	3	119635526	119636150	-
RPS4XP19	processed_pseudogene	18	9020029	9020764	+
RPS3AP49	processed_pseudogene	18	60149576	60150365	+
AL160314.1	processed_pseudogene	14	22694098	22694535	-
MARK2P6	processed_pseudogene	3	128852112	128853008	-
RN7SL291P	misc_RNA	X	44772773	44773061	-
RN7SL214P	misc_RNA	15	77916718	77916982	-
RPL9P28	processed_pseudogene	17	48691116	48691694	-
AC108734.3	processed_pseudogene	3	180772750	180773914	-
NPM1P17	processed_pseudogene	3	137723774	137724543	+
RPL7AP6	processed_pseudogene	14	69885340	69886140	-
AC092590.1	lincRNA	7	115647461	115676329	-
AC211429.1	transcribed_unprocessed_pseudogene	7	75474707	75486108	-
IGKV1-33	IG_V_gene	2	89266494	89268506	-
AC084864.1	lincRNA	7	129783370	129785185	-
RN7SL318P	misc_RNA	8	5142411	5142707	-
AC008571.1	processed_pseudogene	5	152495718	152496017	-
SLC5A4-AS1	antisense	22	32205115	32269666	+
RPL7AP31	processed_pseudogene	4	56356135	56356932	+
RPS20P33	processed_pseudogene	14	105374618	105374971	+
MUC20-OT1	lincRNA	3	195658062	195739964	+
RPL36AP41	processed_pseudogene	12	63871739	63872044	-
AC090602.1	processed_pseudogene	15	24910874	24911125	-
FOXP1-IT1	sense_intronic	3	71570255	71574457	-
AC068647.1	processed_pseudogene	3	151759747	151762011	-
RPL9P32	processed_pseudogene	19	29956369	29956988	-
RN7SL416P	misc_RNA	7	100530362	100530659	-
RN7SL152P	misc_RNA	4	140577925	140578222	+
AC079841.1	processed_pseudogene	3	121356991	121357940	+
AC092978.1	transcribed_unitary_pseudogene	3	141660536	141729405	+
LINC01100	lincRNA	3	160016024	160031423	+
NPM1P23	transcribed_processed_pseudogene	3	24096512	24097360	-
AMACR	protein_coding	5	33986178	34008108	-
TOPORSLP	transcribed_unitary_pseudogene	9	104270228	104286955	+
RN7SL124P	misc_RNA	2	151372003	151372287	+
MTFP1	protein_coding	22	30425530	30429053	+
RN7SL201P	misc_RNA	2	81967079	81967374	+
AC117454.1	processed_pseudogene	3	151499639	151499806	+
MDFIC2	protein_coding	3	70196894	70312726	-
RN7SL267P	misc_RNA	2	182314284	182314544	+
AC053481.1	processed_pseudogene	17	62319884	62320189	+
SNHG3	processed_transcript	1	28505980	28510892	+
RPL5P13	processed_pseudogene	4	142286917	142287625	-
RPL17P2	processed_pseudogene	14	60212462	60212912	-
AC093904.2	processed_transcript	2	9103440	9105114	+
RPL11P5	processed_pseudogene	12	120594015	120594548	-
AC083904.1	processed_pseudogene	3	181146233	181146463	+
SERBP1P3	processed_pseudogene	3	53064283	53065091	-
AC099542.2	lincRNA	3	81208193	81208914	-
AL365356.5	lincRNA	10	5594991	5596118	-
DYNLL1P5	processed_pseudogene	3	154657294	154657563	+
AC108729.1	processed_pseudogene	3	155431229	155433398	-
OFD1P6Y	transcribed_unprocessed_pseudogene	Y	18674033	18739197	+
AC004884.2	antisense	7	105304277	105306642	+
AC000041.1	unprocessed_pseudogene	22	29419155	29423193	-
RN7SL361P	misc_RNA	2	60640705	60641002	+
ABCF2P1	processed_pseudogene	3	88317156	88319022	+
AC018639.1	processed_pseudogene	7	129066021	129066462	-
AL121769.1	processed_pseudogene	14	81332961	81333361	-
RN7SL222P	misc_RNA	11	100641975	100642273	-
AC093789.1	processed_pseudogene	4	188349376	188350024	-
RN7SL329P	misc_RNA	8	125270604	125270902	+
ARHGDIG	protein_coding	16	268727	283010	+
RN7SL127P	misc_RNA	4	78898855	78899154	+
RPL39P31	processed_pseudogene	16	71991151	71991305	-
MTND4P17	processed_pseudogene	3	166160021	166160370	-
RN7SL745P	misc_RNA	18	23004564	23004862	+
AC231760.1	unprocessed_pseudogene	X	149056716	149057166	+
AC017015.2	lincRNA	3	81762706	81764756	-
CRYZL2P	transcribed_unitary_pseudogene	1	178006136	178037950	-
SRRM1P2	processed_pseudogene	3	83937045	83938236	+
AC098869.1	processed_pseudogene	4	40491733	40492024	+
AC008897.1	processed_pseudogene	5	75374463	75374809	+
AC022336.1	processed_pseudogene	3	124733418	124733754	-
RN7SL215P	misc_RNA	3	194145674	194145971	+
RPS26P35	processed_pseudogene	8	118761856	118762201	-
HOXB-AS4	antisense	17	48628675	48634932	+
RPL5P29	processed_pseudogene	11	56357328	56358221	+
AC006445.1	processed_pseudogene	4	13647697	13648400	-
MTND3P6	unprocessed_pseudogene	3	106896483	106896821	-
RN7SL97P	misc_RNA	18	25818234	25818532	-
TCP10L	protein_coding	21	32574841	32587373	-
PSG2	protein_coding	19	43064211	43083045	-
AC092989.1	processed_pseudogene	3	135925891	135926167	+
RPS3AP14	processed_pseudogene	3	125795106	125795885	+
RN7SL594P	misc_RNA	20	25654595	25654881	-
RN7SL306P	misc_RNA	7	128970734	128971029	+
NECTIN3-AS1	antisense	3	110893708	111071553	-
ATP5MC1P3	processed_pseudogene	3	138889255	138889957	-
AL603908.1	processed_pseudogene	6	153666466	153666666	+
ARFGAP3	protein_coding	22	42796502	42858106	-
RPL7AP57	processed_pseudogene	11	92161106	92161889	+
RN7SL20P	misc_RNA	22	31757202	31757498	+
BGLAP	protein_coding	1	156241962	156243321	+
RPL39P34	transcribed_unprocessed_pseudogene	19	52564076	52564231	+
RN7SL57P	misc_RNA	9	112242550	112242839	-
LINC00996	lincRNA	7	150433654	150448140	+
C22orf39	protein_coding	22	19351368	19448232	-
AC018635.1	processed_pseudogene	7	128306649	128307678	+
AC092597.1	processed_pseudogene	4	47706372	47706987	+
PEG10	protein_coding	7	94656325	94669695	+
RN7SL456P	misc_RNA	7	147940007	147940301	+
SKINT1L	transcribed_unprocessed_pseudogene	1	48096092	48182428	-
LINC02082	lincRNA	3	168903366	168921996	+
AK2P2	processed_pseudogene	2	31823413	31823817	-
RPL5P3	processed_pseudogene	15	71063101	71063989	-
AC074051.1	processed_pseudogene	16	5270174	5270954	+
AP000893.1	processed_pseudogene	11	82957423	82958216	+
SLC16A1P1	processed_pseudogene	7	143985142	143986651	+
RN7SL159P	misc_RNA	9	129370170	129370461	-
AC108488.1	lincRNA	2	3531813	3536873	-
RPL6P8	processed_pseudogene	3	160584945	160585787	+
AC022400.3	processed_transcript	10	73674295	73730466	-
ZBTB20-AS5	lincRNA	3	114445521	114529452	+
RPL36AP51	processed_pseudogene	19	21233335	21233652	+
AC010631.1	processed_pseudogene	5	36588506	36588661	+
RPS29P1	processed_pseudogene	14	69023150	69023308	-
STAG3L5P	transcribed_unprocessed_pseudogene	7	100336079	100351900	+
AC087477.1	processed_pseudogene	15	96448154	96448493	+
DEFB109A	unprocessed_pseudogene	8	12393209	12400366	-
AC073861.1	processed_pseudogene	3	101576489	101576947	-
RPS26P52	processed_pseudogene	16	13922332	13922679	-
AC048334.1	unprocessed_pseudogene	3	112696908	112697706	-
RPL12P32	processed_pseudogene	12	31948334	31948827	+
RN7SL685P	misc_RNA	8	100957883	100958180	+
AC121764.1	lincRNA	3	55493830	55505261	-
AC058823.1	processed_pseudogene	4	98409290	98409763	+
RPL21P126	processed_pseudogene	18	55635833	55636310	+
RPL23AP40	processed_pseudogene	3	138796851	138797240	+
AL049634.1	unprocessed_pseudogene	20	1516759	1557653	-
RPS12P31	processed_pseudogene	19	32636078	32636475	+
MCUR1P2	processed_pseudogene	3	166181313	166181820	-
AC023906.1	processed_pseudogene	15	52095295	52095747	+
AC007215.1	processed_pseudogene	12	12840804	12841079	-
RN7SL683P	misc_RNA	14	71448689	71448958	+
TFP1	transcribed_unprocessed_pseudogene	3	133661998	133754576	+
BMS1P4	transcribed_unprocessed_pseudogene	10	73715843	73730469	-
LINC02025	lincRNA	3	84884936	84893379	+
RN7SL646P	misc_RNA	5	178377924	178378220	+
RN7SL561P	misc_RNA	20	1666360	1666640	+
NPPA-AS1	antisense	1	11841017	11848079	+
FAM91A3P	transcribed_processed_pseudogene	1	143766540	143769083	+
RPL12P30	processed_pseudogene	11	30368148	30368646	+
RPS21P4	processed_pseudogene	4	16256308	16256555	-
RN7SL272P	misc_RNA	13	27989296	27989584	-
CT47A2	protein_coding	X	120977606	120980928	-
AC108725.1	processed_pseudogene	3	73648399	73648807	-
NDUFA5P5	processed_pseudogene	3	88601061	88601402	+
UGT1A8	protein_coding	2	233617645	233773310	+
KCNAB1-AS1	antisense	3	156441157	156446905	-
IGKV1-39	IG_V_gene	2	89319625	89320146	-
EIF6	protein_coding	20	35278911	35284985	-
AL590705.3	lincRNA	9	97195351	97197687	-
RN7SL741P	misc_RNA	13	25944478	25944766	+
LINC00901	antisense	3	116921431	116932238	+
HIST1H2APS2	transcribed_processed_pseudogene	6	25882026	25882395	-
RBMY1E	protein_coding	Y	21903618	21918067	-
RPL6P9	processed_pseudogene	3	142580910	142582399	+
AC099677.4	antisense	1	52881216	52881730	-
AC010141.3	unprocessed_pseudogene	Y	21508299	21510470	-
AC096536.3	antisense	1	54886875	54888001	+
RN7SL800P	misc_RNA	17	62005737	62006016	-
RPS20P23	processed_pseudogene	8	100776512	100776865	-
AC007537.2	processed_pseudogene	12	12155262	12155772	+
AC091179.1	lincRNA	17	48733091	48733888	+
AC011506.1	processed_pseudogene	19	56217168	56217777	-
DBIL5P2	transcribed_processed_pseudogene	2	63117851	63119542	-
RPL18P1	processed_pseudogene	14	48489883	48490434	+
PCDHGC4	protein_coding	5	141484997	141512979	+
RPL12P36	processed_pseudogene	16	58825891	58826368	+
C3orf67-AS1	antisense	3	58824437	59019093	+
RN7SL274P	misc_RNA	16	14601823	14602094	-
AC107398.1	processed_pseudogene	4	47490967	47491471	-
UPK3BP1	transcribed_unprocessed_pseudogene	7	77004662	77005774	+
RN7SL789P	misc_RNA	19	32655016	32655308	-
AC127024.1	processed_pseudogene	17	30830901	30831318	+
LINC02046	lincRNA	3	148280891	148399956	+
GTF2A1L	protein_coding	2	48617798	48733148	+
AC007207.1	transcribed_processed_pseudogene	12	4109661	4118132	-
RPL7AP11	processed_pseudogene	3	121494110	121494908	+
MTCO3P38	processed_pseudogene	3	166161203	166161968	-
RBBP4P2	processed_pseudogene	3	94075912	94077175	-
RPS15AP32	processed_pseudogene	12	113054062	113054435	+
IGHJ5	IG_J_gene	14	105863814	105863862	-
KIR2DP1	unprocessed_pseudogene	19	54755023	54767371	+
AC093627.5	lincRNA	7	135853	149466	-
AC091429.1	processed_pseudogene	5	86884231	86884881	-
AC109992.1	processed_pseudogene	3	142450102	142452149	+
RN7SL392P	misc_RNA	1	67656831	67657129	-
RN7SL293P	misc_RNA	8	11379395	11379675	+
MRPL20	protein_coding	1	1401908	1407313	-
AF107885.1	transcribed_processed_pseudogene	14	75838157	75839114	-
RN7SL37P	misc_RNA	5	37246173	37246479	-
ARPIN	protein_coding	15	89895006	89912956	-
FO393401.2	transcribed_unprocessed_pseudogene	20	35520852	35528255	-
RN7SL156P	misc_RNA	20	36870099	36870402	+
NDUFB4P1	processed_pseudogene	3	67513940	67514320	+
LINC01206	lincRNA	3	181952343	182010678	+
UGT1A10	protein_coding	2	233636454	233773305	+
LINC00960	lincRNA	3	75672391	75679303	+
MAGEA5	transcribed_unprocessed_pseudogene	X	152114599	152115540	-
KLHL6-AS1	antisense	3	183548735	183552326	+
OR2U2P	unprocessed_pseudogene	6	29268462	29269421	-
OR7E100P	unprocessed_pseudogene	3	112524187	112525201	-
AC100771.1	processed_pseudogene	11	27483850	27484128	+
AHCYP8	processed_pseudogene	1	248721993	248722201	-
AC083798.1	unprocessed_pseudogene	3	122416882	122417012	-
IGKV2D-28	IG_V_gene	2	89959979	89960754	+
AC079943.2	lincRNA	3	158016216	158088997	-
MRE11P1	processed_pseudogene	3	156111432	156114198	-
AC007620.2	antisense	3	179396961	179399191	+
AC108025.2	3prime_overlapping_ncRNA	2	5696220	5708095	+
AC126121.2	lincRNA	3	59464330	59510678	-
RN7SL169P	misc_RNA	5	64539504	64539792	+
SERPINB10	protein_coding	18	63897174	63936111	+
POU5F1P6	unprocessed_pseudogene	3	128674735	128677005	-
MRPL42P4	processed_pseudogene	7	47026128	47026570	-
AP001432.1	lincRNA	21	37221419	37237744	+
RN7SL144P	misc_RNA	X	41683168	41683462	-
RN7SL797P	misc_RNA	6	96282567	96282863	+
ATP5MGP5	processed_pseudogene	3	152800434	152800732	-
DCAF13P1	processed_pseudogene	7	106125371	106126700	+
RN7SL372P	misc_RNA	1	153704088	153704385	+
AC121764.2	lincRNA	3	55335462	55350915	-
RPL21P11	processed_pseudogene	14	90366697	90367179	-
ACTR3P3	processed_pseudogene	3	101163094	101163986	+
HLA-DMB	protein_coding	6	32934629	32941070	-
AC012501.2	transcribed_processed_pseudogene	2	153420677	153421957	-
AC073288.2	lincRNA	3	170410512	170418615	+
IGKV1D-43	IG_V_gene	2	90209873	90210529	+
AC008040.2	processed_pseudogene	3	170062244	170062951	+
AC108740.1	unprocessed_pseudogene	3	80442081	80442305	+
AC108010.1	processed_transcript	7	128574751	128622694	+
AL645608.6	sense_intronic	1	1055033	1056116	+
AC006148.1	antisense	7	124032205	124395118	+
RPL26P26	processed_pseudogene	8	58113189	58113622	-
MED28P8	processed_pseudogene	1	81557121	81557832	-
CSAG4	transcribed_unprocessed_pseudogene	X	152733827	152740985	+
MBL1P	transcribed_unitary_pseudogene	10	79920178	79923119	+
AC008953.1	processed_pseudogene	5	72878868	72879185	-
RPS3AP34	processed_pseudogene	8	12570350	12571130	-
RPS23P5	processed_pseudogene	5	13250235	13250662	-
AC105265.2	processed_pseudogene	3	72086888	72087725	+
OR5BH1P	unprocessed_pseudogene	X	131398072	131398957	-
AC093627.6	lincRNA	7	77038	81178	+
DECR2	protein_coding	16	401826	412487	+
AC063952.3	processed_pseudogene	3	120388029	120389315	+
RN7SL164P	misc_RNA	13	96169545	96169847	+
AC022415.1	transcribed_processed_pseudogene	19	12141806	12143322	-
GNG10	protein_coding	9	111661335	111670246	+
AC112219.1	lincRNA	3	72202944	72209892	-
AC092910.3	lincRNA	3	120094895	120136783	+
AC009228.1	antisense	2	24214381	24221516	+
RPS24P16	processed_pseudogene	15	67232446	67232837	+
RPS14P7	processed_pseudogene	4	160818422	160818869	+
RPL21P129	processed_pseudogene	19	7750684	7751161	+
RN7SL294P	misc_RNA	3	75182754	75183048	-
RPS29P11	processed_pseudogene	4	25678850	25679020	+
LINC00971	lincRNA	3	84638406	84881679	-
RN7SL292P	misc_RNA	7	51716657	51716922	+
RN7SL862P	misc_RNA	18	9830330	9830627	-
RN7SL132P	misc_RNA	7	34753424	34753719	+
RPL32P14	processed_pseudogene	5	19041009	19041386	+
RN7SL581P	misc_RNA	X	70222006	70222314	-
AC108693.2	lincRNA	3	113746872	113747408	-
AC015911.1	processed_pseudogene	17	35566517	35566672	+
RPS3AP43	processed_pseudogene	12	8359054	8359834	-
AC087385.2	processed_pseudogene	15	60404463	60404960	+
RN7SL317P	misc_RNA	19	53629713	53630041	+
RPL22P13	processed_pseudogene	4	54221126	54221472	+
LINC02010	lincRNA	3	146921923	146925218	+
RN7SL167P	misc_RNA	11	131004128	131004429	-
RPS16P9	processed_pseudogene	19	45332698	45333124	-
RPL12P21	processed_pseudogene	5	139035148	139035987	-
AC107464.1	antisense	4	652850	656213	-
RN7SL304P	misc_RNA	1	19970969	19971269	+
CNTF	protein_coding	11	58622673	58625733	+
RPS27AP1	processed_pseudogene	17	10258762	10259232	+
RN7SL40P	misc_RNA	2	202357076	202357417	-
RPL5P12	processed_pseudogene	4	98025390	98026240	+
RN7SL516P	misc_RNA	2	29681027	29681323	-
CCT4P1	processed_pseudogene	7	140997952	140999800	-
ICE2P2	processed_pseudogene	3	88948142	88950928	+
RPS27AP9	processed_pseudogene	5	80498534	80498971	-
RN7SL362P	misc_RNA	18	13715102	13715368	-
RPL30P9	processed_pseudogene	8	20113343	20113672	-
CCDC169	protein_coding	13	36222008	36297840	-
RN7SL806P	misc_RNA	8	42881236	42881517	+
AC104687.1	processed_pseudogene	4	76891034	76891445	+
UQCRHP4	processed_pseudogene	3	70140217	70140488	+
AC021006.1	processed_pseudogene	11	41538434	41538986	+
FAM86LP	unprocessed_pseudogene	7	6931684	6939603	-
RTL5	protein_coding	X	72127110	72131901	-
RPSAP26	processed_pseudogene	2	62146413	62147153	+
TRBV1	TR_V_pseudogene	7	142299177	142299460	+
AC012170.1	processed_pseudogene	15	50466738	50467096	+
LINC02005	lincRNA	3	73808601	73902866	+
AC090515.1	processed_pseudogene	15	58869659	58870134	+
RPL23AP81	transcribed_processed_pseudogene	20	41196691	41197157	+
NMTRQ-TTG12-1	unprocessed_pseudogene	17	19603274	19603345	-
AL445430.2	lincRNA	6	11487226	11515710	+
RHOT1P3	processed_pseudogene	13	18837768	18838098	-
AL606462.1	processed_pseudogene	1	227430526	227430976	+
LINC00882	lincRNA	3	106836811	107240641	-
RN7SL824P	misc_RNA	1	92402389	92402685	-
IGKV1D-17	IG_V_gene	2	90082635	90083291	+
ZBTB20-AS4	lincRNA	3	115100423	115103061	+
AC096576.1	processed_pseudogene	4	21656511	21656869	-
RN7SL432P	misc_RNA	1	114697627	114697924	-
AC092892.1	processed_transcript	3	112802478	112812819	+
TRBV5-2	TR_V_pseudogene	7	142372640	142372912	+
AC121764.3	lincRNA	3	55360443	55361829	-
ZNF702P	transcribed_processed_pseudogene	19	52968251	53037898	-
LINC02050	lincRNA	3	80764897	80789354	+
AC104831.1	lincRNA	3	155291188	155294176	+
AC117395.1	lincRNA	3	149976755	149979355	+
AC135999.1	processed_pseudogene	15	26851132	26851610	-
RN7SL299P	misc_RNA	1	232222866	232223145	+
AC007849.1	sense_intronic	3	169613510	169623951	-
GLYCTK-AS1	processed_transcript	3	52288580	52299067	-
AC073842.2	antisense	7	100115214	100127139	-
AP5Z1	protein_coding	7	4775622	4794312	+
RPL26P31	processed_pseudogene	11	93052395	93052827	-
SOX2-OT	sense_overlapping	3	180989762	181836880	+
MRPL42P6	processed_pseudogene	3	151475804	151476174	-
RN7SL229P	misc_RNA	3	180736405	180736703	-
AC113398.1	processed_pseudogene	5	124808828	124809233	-
AC092691.3	lincRNA	3	117790673	117793765	+
RN7SL846P	misc_RNA	10	119768247	119768538	+
AC068756.1	lincRNA	3	80761042	80788963	-
RPS26P21	processed_pseudogene	3	119298665	119299012	+
RPL7AP56	processed_pseudogene	11	37725666	37726456	+
MTCO3P35	unprocessed_pseudogene	3	106896891	106897671	-
RPL21P13	processed_pseudogene	14	103241492	103241972	+
KRT8P35	processed_pseudogene	3	63096374	63097711	-
ALDOAP1	processed_pseudogene	3	52193170	52194785	+
RPL23AP68	processed_pseudogene	12	87169985	87170429	-
ZNF709	protein_coding	19	12461184	12513854	-
RN7SL749P	misc_RNA	10	119212857	119213146	+
DNM1P24	unprocessed_pseudogene	Y	24179316	24183505	-
RN7SL496P	misc_RNA	7	39888375	39888664	+
VN1R105P	transcribed_processed_pseudogene	19	54647944	54648853	+
AC020899.1	processed_pseudogene	5	83746388	83746989	-
RN7SL180P	misc_RNA	1	62072448	62072741	+
AL591895.1	antisense	1	225840883	225846522	-
RN7SL677P	misc_RNA	15	97353497	97353815	+
RN7SL244P	misc_RNA	6	53090961	53091257	+
STRC	protein_coding	15	43599563	43618800	-
RBMY1B	protein_coding	Y	21511338	21549094	+
RN7SL812P	misc_RNA	22	20481935	20482213	-
AC006335.2	unprocessed_pseudogene	Y	6307710	6309587	+
